Year Installed,Month Installed,Object ID,Address,Location,Street,Placement,Number of Racks,Number of Spaces,Last Edited Date,Geom
2015,6,1032,1117 IRVING ST,Relax Feet Massage,IRVING ST,SIDEWALK,1,2,,"(37.7637510475, -122.469900509)"
2015,6,1033,11 SILLIMAN ST,Relax Feet Massage,SILLIMAN ST,SIDEWALK,1,2,,"(37.7310703476, -122.405476308)"
2015,6,1034,1150 GENEVA AVE,Relax Feet Massage,GENEVA AVE,SIDEWALK,1,2,,"(37.7143409479, -122.437170008)"
2015,6,1035,2436 JUDAH ST,Relax Feet Massage,JUDAH ST,SIDEWALK,1,2,,"(37.7612112476, -122.488417309)"
2015,6,1036,1443 NORIEGA ST,Relax Feet Massage,NORIEGA ST,SIDEWALK,1,2,,"(37.7541004483, -122.479472108)"
2015,1,1037,445 VALENCIA ST,Relax Feet Massage,VALENCIA,SIDEWALK,1,2,,"(37.7658579482, -122.421829308)"
2015,7,1038,30 29TH ST,Relax Feet Massage,29TH ST,SIDEWALK,1,2,,"(37.7625100477, -122.503723508)"
2015,7,1039,1493 VALENCIA ST,Relax Feet Massage,VALENCIA ST,SIDEWALK,2,4,,"(37.7658579482, -122.421829308)"
2015,6,1040,4252 Irving St,residential,IRVING ST,SIDEWALK,1,2,,"(37.7625100477, -122.503723508)"
2015,1,1041,1400 CLEMENT ST,Heartbaker Bakery,CLEMENT,SIDEWALK,2,4,,"(37.7825237477, -122.474130008)"
2015,7,1042,4076 18TH ST,Réveille Coffee Co.,18TH ST,SIDEWALK,2,4,,"(37.7610933483, -122.434413809)"
2015,6,1043,642 CLEMENT ST,Richmond Republic Draught House,CLEMENT ST,SIDEWALK,1,2,,"(37.7831329484, -122.466227009)"
2014,9,1044,400 HOWARD ST,FedEx,01ST ST,SIDEWALK,3,6,,"(37.7892152975, -122.395574808)"
2015,1,1045,195 05TH AVE,Ro Cafe,CALIFORNIA ST,SIDEWALK,2,4,,"(37.7849391478, -122.463768808)"
2015,6,1046,5191 03RD ST,Roadhouse Coffee,03RD ST,SIDEWALK,1,2,,"(37.7308911483, -122.391804709)"
2015,1,1047,3140 MISSION ST,Roccapulco's,MISSION ST,SIDEWALK,1,2,,"(37.7471446479, -122.419222508)"
2015,1,1048,1919 MISSION ST,Rogue and Saint Fitness,MISSION ST,SIDEWALK,1,2,,"(37.7662636476, -122.419557208)"
2015,1,1049,1917 MISSION ST,Rogue and Saint Fitness,MISSION ST,SIDEWALK,1,2,,"(37.766271948, -122.419434009)"
2015,1,1050,1963 SUTTER ST,Roostertail,SUTTER,SIDEWALK,2,4,,"(37.7859831483, -122.432607309)"
2015,6,1051,688 GEARY ST,Rye Bar,GEARY,SIDEWALK,1,2,,"(37.7867627478, -122.414581709)"
2015,1,1052,375 RHODE ISLAND ST,San Francisco Center for the Book,RHODE ISLAND,SIDEWALK,2,4,,"(37.7653569475, -122.402331008)"
2015,1,1053,690 VAN NESS AVE,San Francisco Cooking School,VAN NESS,SIDEWALK,2,4,,"(37.7816575475, -122.420235709)"
